id,release_date,movie,production_budget,domestic_gross,worldwide_gross,production_budget_num,domestic_gross_num,worldwide_gross_num,domestic_ratio,worldwide_ratio,profit_num,roi_num,domestic_pct
40,2005-12-14,King Kong,"$207,000,000","$218,080,025","$550,517,357",207000000.0,218080025.0,550517357.0,1.053526690821256,2.6595041400966184,343517357.0,1.6595041400966184,39.61365109147685
41,2007-12-07,The Golden Compass,"$205,000,000","$70,107,728","$367,262,558",205000000.0,70107728.0,367262558.0,0.34198891707317075,1.7915246731707317,162262558.0,0.7915246731707317,19.08926637710779
42,2018-02-16,Black Panther,"$200,000,000","$700,059,566","$1,348,258,224",200000000.0,700059566.0,1348258224.0,3.50029783,6.74129112,1148258224.0,5.74129112,51.92325576350425
43,1997-12-19,Titanic,"$200,000,000","$659,363,944","$2,208,208,395",200000000.0,659363944.0,2208208395.0,3.29681972,11.041041975,2008208395.0,10.041041975,29.859679253687467
44,2018-06-15,Incredibles 2,"$200,000,000","$608,581,744","$1,242,520,711",200000000.0,608581744.0,1242520711.0,3.04290872,6.212603555,1042520711.0,5.212603555,48.97960562043299
45,2016-12-16,Rogue One: A Star Wars Story,"$200,000,000","$532,177,324","$1,049,102,856",200000000.0,532177324.0,1049102856.0,2.66088662,5.24551428,849102856.0,4.24551428,50.726896886838716
46,2016-06-17,Finding Dory,"$200,000,000","$486,295,561","$1,021,215,193",200000000.0,486295561.0,1021215193.0,2.431477805,5.106075965,821215193.0,4.106075965,47.61930338809599
47,2010-06-18,Toy Story 3,"$200,000,000","$415,004,880","$1,068,879,522",200000000.0,415004880.0,1068879522.0,2.0750244,5.34439761,868879522.0,4.34439761,38.826160615695656
48,2013-05-03,Iron Man 3,"$200,000,000","$408,992,272","$1,215,392,272",200000000.0,408992272.0,1215392272.0,2.04496136,6.07696136,1015392272.0,5.07696136,33.651050892974574
49,2017-05-05,Guardians of the Galaxy Vol 2,"$200,000,000","$389,813,101","$862,316,233",200000000.0,389813101.0,862316233.0,1.949065505,4.311581165,662316233.0,3.311581165,45.205353451811916
50,2004-06-30,Spider-Man 2,"$200,000,000","$373,524,485","$795,110,670",200000000.0,373524485.0,795110670.0,1.867622425,3.97555335,595110670.0,2.97555335,46.97767230315247
51,2010-03-05,Alice in Wonderland,"$200,000,000","$334,191,110","$1,025,491,110",200000000.0,334191110.0,1025491110.0,1.67095555,5.12745555,825491110.0,4.12745555,32.58839659760678
52,2012-11-08,Skyfall,"$200,000,000","$304,360,277","$1,110,526,981",200000000.0,304360277.0,1110526981.0,1.521801385,5.552634905,910526981.0,4.552634905,27.406833170854767
53,2013-06-21,Monsters University,"$200,000,000","$268,488,329","$743,588,329",200000000.0,268488329.0,743588329.0,1.342441645,3.717941645,543588329.0,2.717941645,36.107119830817034
54,2013-03-08,Oz the Great and Powerful,"$200,000,000","$234,770,996","$490,359,051",200000000.0,234770996.0,490359051.0,1.17385498,2.451795255,290359051.0,1.451795255,47.87736568158095
55,2014-05-23,X-Men: Days of Future Past,"$200,000,000","$233,921,534","$747,862,775",200000000.0,233921534.0,747862775.0,1.16960767,3.739313875,547862775.0,2.739313875,31.278670609056586
56,2014-05-02,The Amazing Spider-Man 2,"$200,000,000","$202,853,933","$708,996,336",200000000.0,202853933.0,708996336.0,1.014269665,3.54498168,508996336.0,2.54498168,28.61142190726357
57,2011-06-24,Cars 2,"$200,000,000","$191,450,875","$560,155,383",200000000.0,191450875.0,560155383.0,0.957254375,2.800776915,360155383.0,1.800776915,34.1781728445873
58,2010-12-17,Tron: Legacy,"$200,000,000","$172,062,763","$400,062,763",200000000.0,172062763.0,400062763.0,0.860313815,2.000313815,200062763.0,1.000313815,43.00894232438224
59,2009-11-13,2012,"$200,000,000","$166,112,167","$757,677,748",200000000.0,166112167.0,757677748.0,0.830560835,3.78838874,557677748.0,2.78838874,21.923854493348536
60,2018-11-16,Fantastic Beasts: The Crimes of Grindelwald,"$200,000,000","$159,555,901","$652,220,086",200000000.0,159555901.0,652220086.0,0.797779505,3.26110043,452220086.0,2.26110043,24.463506172976096
61,2009-05-21,Terminator Salvation,"$200,000,000","$125,322,469","$365,491,792",200000000.0,125322469.0,365491792.0,0.626612345,1.82745896,165491792.0,0.82745896,34.28872323348919
62,2011-06-17,Green Lantern,"$200,000,000","$116,601,172","$219,535,492",200000000.0,116601172.0,219535492.0,0.58300586,1.09767746,19535492.0,0.09767746,53.11267482890648
63,2010-05-28,Prince of Persia: Sands of Time,"$200,000,000","$90,759,676","$336,359,676",200000000.0,90759676.0,336359676.0,0.45379838,1.68179838,136359676.0,0.68179838,26.982924076784997
64,2011-06-29,Transformers: Dark of the Moon,"$195,000,000","$352,390,543","$1,123,790,543",195000000.0,352390543.0,1123790543.0,1.8071309897435897,5.763028425641026,928790543.0,4.763028425641026,31.3573152216854
65,2017-06-09,The Mummy,"$195,000,000","$80,101,125","$409,953,905",195000000.0,80101125.0,409953905.0,0.410775,2.102327717948718,214953905.0,1.1023277179487179,19.539056470263407
66,2013-03-01,Jack the Giant Slayer,"$195,000,000","$65,187,603","$197,687,603",195000000.0,65187603.0,197687603.0,0.3342954,1.0137825794871795,2687603.0,0.013782579487179487,32.97505863329225
67,2015-04-03,Furious 7,"$190,000,000","$353,007,020","$1,518,722,794",190000000.0,353007020.0,1518722794.0,1.8579316842105262,7.9932778631578945,1328722794.0,6.9932778631578945,23.243676949777843
68,2013-05-16,Star Trek Into Darkness,"$190,000,000","$228,778,661","$467,381,584",190000000.0,228778661.0,467381584.0,1.2040982157894737,2.4599030736842105,277381584.0,1.4599030736842105,48.94901057975789
69,2013-06-21,World War Z,"$190,000,000","$202,359,711","$531,514,650",190000000.0,202359711.0,531514650.0,1.0650511105263158,2.7974455263157894,341514650.0,1.7974455263157896,38.07227345473921
70,2013-05-10,The Great Gatsby,"$190,000,000","$144,840,419","$351,040,419",190000000.0,144840419.0,351040419.0,0.7623179947368421,1.8475811526315788,161040419.0,0.847581152631579,41.26032535301868
71,2009-11-06,Disneyâs A Christmas Carol,"$190,000,000","$137,855,863","$315,709,697",190000000.0,137855863.0,315709697.0,0.7255571736842106,1.6616299842105262,125709697.0,0.6616299842105263,43.6653876361612
72,2013-07-12,Pacific Rim,"$190,000,000","$101,802,906","$411,002,906",190000000.0,101802906.0,411002906.0,0.5358047684210526,2.1631731894736843,221002906.0,1.1631731894736843,24.769388370212642
73,2015-11-25,The Good Dinosaur,"$187,500,000","$123,087,120","$333,771,037",187500000.0,123087120.0,333771037.0,0.65646464,1.7801121973333334,146271037.0,0.7801121973333334,36.87771147141206
74,2008-05-02,Iron Man,"$186,000,000","$318,604,126","$585,171,547",186000000.0,318604126.0,585171547.0,1.7129254086021506,3.1460835860215055,399171547.0,2.1460835860215055,54.44627778527311
75,2008-07-18,The Dark Knight,"$185,000,000","$533,720,947","$1,001,996,207",185000000.0,533720947.0,1001996207.0,2.8849780918918917,5.416195713513513,816996207.0,4.416195713513513,53.265765206634164
76,2008-05-22,Indiana Jones and the Kingdom of the Crystal Skull,"$185,000,000","$317,101,119","$786,635,413",185000000.0,317101119.0,786635413.0,1.7140601027027027,4.252083313513514,601635413.0,3.2520833135135137,40.31106580755982
77,2012-06-22,Brave,"$185,000,000","$237,282,182","$554,606,532",185000000.0,237282182.0,554606532.0,1.2826063891891892,2.997873145945946,369606532.0,1.997873145945946,42.783877994426504
78,2017-03-10,Kong: Skull Island,"$185,000,000","$168,052,812","$561,072,059",185000000.0,168052812.0,561072059.0,0.9083935783783784,3.0328219405405403,376072059.0,2.0328219405405403,29.952090699280394
79,2016-07-22,Star Trek Beyond,"$185,000,000","$158,848,340","$335,802,233",185000000.0,158848340.0,335802233.0,0.8586396756756757,1.8151472054054054,150802233.0,0.8151472054054054,47.30413451419783
80,2017-10-06,Blade Runner 2049,"$185,000,000","$92,054,159","$259,357,408",185000000.0,92054159.0,259357408.0,0.49759004864864864,1.4019319351351351,74357408.0,0.40193193513513514,35.49316740549782
81,2019-05-24,Aladdin,"$182,000,000","$246,734,314","$619,234,314",182000000.0,246734314.0,619234314.0,1.3556830439560439,3.4023863406593406,437234314.0,2.4023863406593406,39.845064852139316
82,2017-11-03,Thor: Ragnarok,"$180,000,000","$315,058,289","$846,980,024",180000000.0,315058289.0,846980024.0,1.7503238277777777,4.705444577777778,666980024.0,3.7054445777777776,37.19784175216864
83,2005-12-09,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","$180,000,000","$291,710,957","$720,539,572",180000000.0,291710957.0,720539572.0,1.6206164277777777,4.002997622222222,540539572.0,3.0029976222222223,40.485070957351944
84,2014-05-30,Maleficent,"$180,000,000","$241,407,328","$758,536,735",180000000.0,241407328.0,758536735.0,1.3411518222222223,4.214092972222222,578536735.0,3.2140929722222222,31.8253970916781
85,2016-11-18,Fantastic Beasts and Where to Find Them,"$180,000,000","$234,037,575","$802,402,853",180000000.0,234037575.0,802402853.0,1.30020875,4.457793627777778,622402853.0,3.457793627777778,29.16709158311031
86,2008-06-27,WALL-E,"$180,000,000","$223,808,164","$532,508,025",180000000.0,223808164.0,532508025.0,1.243378688888889,2.9583779166666666,352508025.0,1.9583779166666666,42.02906876379938
87,2007-08-10,Rush Hour 3,"$180,000,000","$140,125,968","$256,585,882",180000000.0,140125968.0,256585882.0,0.7784776,1.4254771222222222,76585882.0,0.4254771222222222,54.61172177820758
