movie_id,primary_title,start_year,runtime_minutes,genres,averagerating,numvotes,aka_title,region,language,log_numVotes,runtime_winsorized,tmdb_match,Unnamed: 0,genre_ids,id_numbers,original_language,original_title,popularity,title,vote_average,vote_count,release_year,log_popularity,combined_score,movie_name_match,id_imdb/tmdb,release_date,movie,production_budget,domestic_gross,worldwide_gross,production_budget_num,domestic_gross_num,worldwide_gross_num,domestic_ratio,worldwide_ratio,profit_num,roi_num,domestic_pct
tt1462041,Dream House,2011,84.0,"Drama,Mystery,Thriller",6.0,59714.0,A Casa dos Sonhos,BR,Unknown,10.997338524102528,84.0,Dream House,2670,"[18, 53, 9648]",69668,en,Dream House,9.047,Dream House,6.0,670,2011,2.3072740824801774,398.484,Dream House,80,2011-09-30,Dream House,"$50,000,000","$21,302,340","$41,642,166",50000000.0,21302340.0,41642166.0,0.4260468,0.83284332,-8357834.0,-0.16715668,51.15569636795549
tt0873886,Red State,2011,88.0,"Action,Crime,Horror",6.2,59266.0,Crvena država,HR,Unknown,10.989807937674978,88.0,Red State,2758,"[27, 28, 53]",48572,en,Red State,7.816,Red State,6.1,472,2011,2.1765682524105587,396.2412,Red State,22,2011-09-23,Red State,"$4,000,000","$1,065,429","$1,983,596",4000000.0,1065429.0,1983596.0,0.26635725,0.495899,-2016404.0,-0.504101,53.71199578946519
tt1137450,Death Wish,2018,107.0,"Action,Crime,Drama",6.4,50279.0,Bosszúvágy,HU,Unknown,10.825362662704183,107.0,Death Wish,23917,"[28, 80, 18, 53]",395990,en,Death Wish,18.014,Death Wish,5.9,1207,2018,2.9451755499368386,392.99860000000007,Death Wish,28,2018-03-02,Death Wish,"$30,000,000","$34,017,028","$48,575,965",30000000.0,34017028.0,48575965.0,1.1339009333333334,1.6191988333333334,18575965.0,0.6191988333333334,70.02851718951955
tt3829920,Only the Brave,2017,134.0,"Action,Biography,Drama",7.7,45482.0,A bátrak,HU,Unknown,10.725093908749692,134.0,Only the Brave,20725,[18],395991,en,Only the Brave,14.163,Only the Brave,7.0,603,2017,2.718858249818802,392.4214,Only the Brave,75,2017-10-20,Only the Brave,"$38,000,000","$18,340,051","$24,555,177",38000000.0,18340051.0,24555177.0,0.4826329210526315,0.6461888684210526,-13444823.0,-0.3538111315789474,74.68914192717894
tt2547584,The Light Between Oceans,2016,133.0,"Drama,Romance",7.2,46247.0,A Luz Entre Oceanos,BR,Unknown,10.741773498762312,133.0,The Light Between Oceans,17387,"[18, 10749]",283552,en,The Light Between Oceans,29.887,The Light Between Oceans,7.1,831,2016,3.4303353834054775,391.9794,The Light Between Oceans,34,2016-09-02,The Light Between Oceans,"$20,000,000","$12,545,979","$22,281,732",20000000.0,12545979.0,22281732.0,0.62729895,1.1140866,2281732.0,0.1140866,56.30612108609869
tt1661382,Grudge Match,2013,113.0,"Comedy,Drama,Sport",6.4,54080.0,A kiütés,HU,Unknown,10.898238201670146,113.0,Grudge Match,8122,[35],64807,en,Grudge Match,7.918,Grudge Match,6.0,711,2013,2.188071706205285,388.7720000000001,Grudge Match,77,2013-12-25,Grudge Match,"$40,000,000","$29,807,260","$69,807,260",40000000.0,29807260.0,69807260.0,0.7451815,1.7451815,29807260.0,0.7451815,42.69936966441599
tt8155288,Happy Death Day 2U,2019,100.0,"Drama,Horror,Mystery",6.3,27462.0,A Morte Te Dá Parabéns 2,BR,Unknown,10.220594923172552,100.0,Happy Death Day,20658,"[27, 9648, 53]",440021,en,Happy Death Day,21.23,Happy Death Day,6.6,3211,2017,3.101442727976105,384.9366,Happy Death Day 2U,78,2019-02-13,Happy Death Day 2U,"$9,000,000","$28,051,045","$64,179,495",9000000.0,28051045.0,64179495.0,3.116782777777778,7.131055,55179495.0,6.131055,43.70717625621703
tt2273657,True Story,2015,99.0,"Crime,Drama,Mystery",6.3,52063.0,A História Verdadeira,BR,Unknown,10.860229010018765,99.0,True Story,14471,"[80, 18, 9648]",245706,en,True Story,7.713,True Story,6.2,916,2015,2.16481616324915,384.7889,A True Story,27,2013-10-25,A True Story,"$45,000",$0,$0,45000.0,0.0,0.0,0.0,0.0,-45000.0,-1.0,
tt4765284,Pitch Perfect 3,2017,93.0,"Comedy,Music",5.8,45127.0,A Escolha Perfeita 3,BR,Unknown,10.717258175419811,93.0,Pitch Perfect 3,20711,"[35, 10402]",353616,en,Pitch Perfect 3,14.89,Pitch Perfect 3,6.5,1884,2017,2.7656899805486246,384.1966,Pitch Perfect 3,58,2017-12-22,Pitch Perfect 3,"$45,000,000","$104,897,530","$185,736,412",45000000.0,104897530.0,185736412.0,2.331056222222222,4.127475822222222,140736412.0,3.1274758222222223,56.476556680765434
tt4532826,Robin Hood,2018,116.0,"Action,Adventure,Thriller",5.3,41588.0,Robin Des Bois,CA,fr,10.635590988206486,116.0,Robin Hood,36,"[28, 12, 18]",20662,en,Robin Hood,15.444,Robin Hood,6.3,2569,2010,2.799960669035632,382.26339999999993,Robin Hood,39,2010-05-14,Robin Hood,"$210,000,000","$105,487,148","$322,459,006",210000000.0,105487148.0,322459006.0,0.5023197523809524,1.5355190761904762,112459006.0,0.5355190761904762,32.713351476373404
tt4532826,Robin Hood,2018,116.0,"Action,Adventure,Thriller",5.3,41588.0,Robin Des Bois,CA,fr,10.635590988206486,116.0,Robin Hood,36,"[28, 12, 18]",20662,en,Robin Hood,15.444,Robin Hood,6.3,2569,2010,2.799960669035632,382.26339999999993,Robin Hood,9,2018-11-21,Robin Hood,"$99,000,000","$30,824,628","$84,747,441",99000000.0,30824628.0,84747441.0,0.3113598787878788,0.8560347575757575,-14252559.0,-0.1439652424242424,36.37234072943866
tt1748179,Red Lights,2012,114.0,"Drama,Fantasy,Horror",6.2,55287.0,A gyilkos médium,HU,Unknown,10.92031116577123,114.0,Red Lights,5384,[53],75638,en,Red Lights,8.25,Red Lights,6.1,615,2012,2.224623551524334,380.2944,Red Lights,56,2012-07-13,Red Lights,"$17,700,000","$49,521","$14,518,884",17700000.0,49521.0,14518884.0,0.0027977966101694,0.8202759322033898,-3181116.0,-0.1797240677966101,0.3410799342428798
tt2005374,The Frozen Ground,2013,105.0,"Crime,Drama,Mystery",6.4,51915.0,Adama kfou'a,IL,he,10.857382306807647,105.0,The Frozen Ground,8014,"[53, 80]",199373,en,The Frozen Ground,10.34,The Frozen Ground,6.3,762,2013,2.428336298299606,380.26199999999994,The Frozen Ground,22,2013-08-23,The Frozen Ground,"$19,200,000",$0,"$5,617,460",19200000.0,0.0,5617460.0,0.0,0.2925760416666667,-13582540.0,-0.7074239583333334,0.0
tt5220122,Hotel Transylvania 3: Summer Vacation,2018,97.0,"Adventure,Animation,Comedy",6.3,42299.0,Hotel Transilvania 3,ES,es,10.65254236503437,97.0,Hotel Transylvania 3: Summer Vacation,23851,"[10751, 14, 35, 16]",400155,en,Hotel Transylvania 3: Summer Vacation,26.815,Hotel Transylvania 3: Summer Vacation,6.8,1673,2018,3.3255754435272564,380.2477,Hotel Transylvania 3: Summer Vacation,77,2018-07-13,Hotel Transylvania 3: Summer Vacation,"$65,000,000","$167,500,092","$527,079,962",65000000.0,167500092.0,527079962.0,2.5769244923076924,8.108922492307693,462079962.0,7.108922492307692,31.7788768452556
tt2718492,Ida,2013,82.0,Drama,7.4,46819.0,Ida,Unknown,Unknown,10.754065741044904,82.0,Ida,11344,[18],209274,pl,Ida,7.568,Ida,7.3,455,2014,2.1480343331454477,379.6756,Ida,3,2014-05-02,Ida,"$2,600,000","$3,827,060","$15,298,355",2600000.0,3827060.0,15298355.0,1.4719461538461538,5.8839826923076926,12698355.0,4.8839826923076926,25.01615369757075
tt3014866,Criminal,2016,113.0,"Action,Crime,Drama",6.3,51666.0,Beépített tudat,HU,Unknown,10.852574558825363,113.0,Criminal,17477,"[28, 80, 878, 53, 9648, 18]",302156,en,Criminal,13.651,Criminal,5.9,897,2016,2.684508592519176,378.4188,Criminal,21,2016-04-15,Criminal,"$31,500,000","$14,708,696","$38,771,262",31500000.0,14708696.0,38771262.0,0.4669427301587301,1.2308337142857142,7271262.0,0.2308337142857142,37.937109191854525
